[12/08/2024 11:35:32 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:39:44 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:44:53 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:47:09 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:47:27 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:49:18 CH] [INFO] received Windows console close event; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:53:38 CH] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[12/08/2024 11:59:02 CH] [INFO] received Windows console close event; shutting log-core down
[13/08/2024 12:02:35 SA] [INFO] received Windows console close event; shutting log-core down
[13/08/2024 12:04:05 SA] [INFO] received Windows console close event; shutting log-core down
[13/08/2024 12:05:48 SA] [INFO] received Windows console close event; shutting log-core down
[13/08/2024 12:11:23 SA] [INFO] received Windows console close event; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13/08/2024 12:12:52 SA] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
